"hpl_id";"linje";"lan_kod";"lan";"kommun_kod";"kommun";"tatort_pop";"tatort_kod";"tatort";"y_wgs84";"x_wgs84";"x_sweref99tm";"y_sweref99tm"
780457;"109, 848";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,8714252163764;17,3054890146642;629076,212200366;6639338,77594095
780458;"806, 809";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,8606047948528;18,1096700867773;674136,951390248;6639975,42967876
780459;"806";"03";"Uppsala";"0380";"Uppsala";888;"T0500";"Almunge";59,8625662550895;18,0664381586194;671707,069241056;6640080,81779181
780460;"109, 848";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,8747549539643;17,2928893182712;628358,150168295;6639684,95724612
780461;"806, 809";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,8641873826836;18,1229878573953;674863,549368094;6640409,20845494
780462;"809";"03";"Uppsala";"0380";"Uppsala";691;"T0592";"Länna";59,8666904565347;17,9431202187111;664784,47463747;6640226,47982937
780465;"848";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,8777020557062;17,2854847742165;627932,42066867;6639998,70517126
780466;"848";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,8789262631567;17,2691091077699;627011,343354951;6640103,46517136
780467;"806, 809";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,8664906755546;18,1390046569425;675747,767183253;6640707,92969548
780468;"106";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,8757732427285;17,5291376900026;641575,166907164;6640279,7988422
780469;"848";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,8805872976401;17,2479113402717;625818,842604084;6640247,91074427
780470;"806, 809";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,8690509086909;18,1490594737772;676296,882470402;6641019,56771597
780471;"809";"03";"Uppsala";"0380";"Uppsala";691;"T0592";"Länna";59,8727716931918;17,9584047419764;665609,62358568;6640941,40576433
780472;"809";"03";"Uppsala";"0380";"Uppsala";691;"T0592";"Länna";59,876803336975;17,9644345070845;665926,919526525;6641405,19027966
780473;"809";"03";"Uppsala";"0380";"Uppsala";888;"T0500";"Almunge";59,8738764648903;18,054061104757;670956,253904848;6641307,46797498
780474;"848";"03";"Uppsala";"0380";"Uppsala";539;"T0568";"Järlåsa";59,8860133127038;17,1991499252115;623070,203534328;6640760,32275476
780476;"809";"03";"Uppsala";"0380";"Uppsala";888;"T0500";"Almunge";59,8754201483641;18,0461994512939;670508,483331982;6641458,98835246
780477;"106";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,8836185209904;17,5001603092262;639920,61330561;6641091,48424409
780480;"106";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,8844086599502;17,5189027717223;640965,847576809;6641219,18948784
780481;"809";"03";"Uppsala";"0380";"Uppsala";888;"T0500";"Almunge";59,8777221959647;18,0253130508817;669328,214542022;6641661,57733708
780482;"809";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,8779785818227;18,0084327577371;668382,551889453;6641647,06060006
780483;"106";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,8855561044386;17,5107268216795;640503,596378156;6641329,53704876
780485;"848";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,8919959444589;17,1617579451702;620956,39916761;6641357,4450555
